ascent,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
3.384,,,,,,
2.977,,,,,,
2.77,,,,,,
2.789,,,,,,
2.61,,,,,,
2.952,,,,,,
0.357,,,,,,
2.241,,,,,,
9.776,,,,,,
6.079,,,,,,
2.53,,,,,,
3.041,,,,,,
7.103,,,,,,
6.059,,,,,,
2.739,,,,,,
2.042,,,,,,
2.74,,,,,,
2.506,,,,,,
2.045,,,,,,
2.065,,,,,,
0.04,,,,,,
2.798,,,,,,
4.275,,,,,,
0.036,,,,,,
2.248,,,,,,
2.123,,,,,,
2.649,,,,,,
5.001,,,,,,
7.328,,,,,,
3.023,,,,,,
3.248,,,,,,
4.233,,,,,,
2.351,,,,,,
2.015,,,,,,
2.028,,,,,,
2.074,,,,,,
3.26,,,,,,
2.276,,,,,,
3.048,,,,,,
9.765,,,,,,
7.069,,,,,,
4.129,,,,,,
2.728,,,,,,
6.418,,,,,,
6.941,,,,,,
3.502,,,,,,
2.016,,,,,,
5.25,,,,,,
1.432,,,,,,
3.118,,,,,,
3.086,,,,,,
2.5,,,,,,
3.258,,,,,,
2.276,,,,,,
3.595,,,,,,
2.008,,,,,,
5.996,,,,,,
1.896,,,,,,
4.686,,,,,,
5.98,,,,,,
2.721,,,,,,
2.193,,,,,,
2.676,,,,,,
2.436,,,,,,
4.786,,,,,,
1.92,,,,,,
2.089,,,,,,
3.897,,,,,,
2.384,,,,,,
3.951,,,,,,
2.12,,,,,,
2.852,,,,,,
4.047,,,,,,
3.667,,,,,,
2.364,,,,,,
3.692,,,,,,
7.086,,,,,,
2.379,,,,,,
1.837,,,,,,
2.125,,,,,,
6.329,,,,,,
2.301,,,,,,
2.186,,,,,,
5.857,,,,,,
2.091,,,,,,
4.532,,,,,,
2.002,,,,,,
2.785,,,,,,
5.313,,,,,,
4.368,,,,,,
3.88,,,,,,
2.404,,,,,,
1.613,,,,,,
7.17,,,,,,
0.238,,,,,,
0.233,,,,,,
2.225,,,,,,
2.212,,,,,,
1.64,,,,,,
4.51,,,,,,
1.614,,,,,,
1.155,,,,,,
2.916,,,,,,
3.971,,,,,,
0.688,,,,,,
0.464,,,,,,
3.556,,,,,,
4.847,,,,,,
3.408,,,,,,
2.407,,,,,,
3.847,,,,,,
6.513,,,,,,
5.101,,,,,,
2.271,,,,,,
2.901,,,,,,
4.106,,,,,,
5.052,,,,,,
2.487,,,,,,
28.866,,,,,,
2.858,,,,,,
6.9,,,,,,
2.556,,,,,,
3.062,,,,,,
5.155,,,,,,
2.564,,,,,,
2.582,,,,,,
6.095,,,,,,
2.356,,,,,,
5.688,,,,,,
1.121,,,,,,
3.523,,,,,,
4.733,,,,,,
4.658,,,,,,
5.142,,,,,,
0.321,,,,,,
4.907,,,,,,
2.099,,,,,,
2.446,,,,,,
1.999,,,,,,
3.048,,,,,,
6.655,,,,,,
0.886,,,,,,
2.765,,,,,,
2.597,,,,,,
2.661,,,,,,
2.727,,,,,,
4.648,,,,,,
3.74,,,,,,
3.048,,,,,,
3.31,,,,,,
2.142,,,,,,
6.024,,,,,,
2.14,,,,,,
2.884,,,,,,
2.745,,,,,,
4.86,,,,,,
0.466,,,,,,
2.198,,,,,,
4.837,,,,,,
2.107,,,,,,
4.232,,,,,,
2.178,,,,,,
3.627,,,,,,
2.983,,,,,,
2.218,,,,,,
4.891,,,,,,
2.359,,,,,,
3.048,,,,,,
1.86,,,,,,
2.824,,,,,,
2.115,,,,,,
2.655,,,,,,
3.96,,,,,,
2.102,,,,,,
2.882,,,,,,
5.308,,,,,,
2.894,,,,,,
2.256,,,,,,
3.736,,,,,,
2.366,,,,,,
3.663,,,,,,
4.078,,,,,,
9.609,,,,,,
3.221,,,,,,
2.569,,,,,,
2.503,,,,,,
5.193,,,,,,
0.618,,,,,,
2.429,,,,,,
3.048,,,,,,
0.266,,,,,,
1.598,,,,,,
2.676,,,,,,
6.417,,,,,,
4.481,,,,,,
7.489,,,,,,
0.272,,,,,,
2.131,,,,,,
3.035,,,,,,
2.823,,,,,,
5.098,,,,,,
2.403,,,,,,
5.11,,,,,,
5.987,,,,,,
4.976,,,,,,
7.753,,,,,,
6.096,,,,,,
4.605,,,,,,
0.459,,,,,,
4.598,,,,,,
3.3,,,,,,
2.84,,,,,,
3.048,,,,,,
4.954,,,,,,
5.144,,,,,,
5.396,,,,,,
0.533,,,,,,
4.973,,,,,,
3.09,,,,,,
5.516,,,,,,
0.576,,,,,,
3.986,,,,,,
6.795,,,,,,
6.903,,,,,,
6.739,,,,,,
