descent,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2.586,,,,,,
4.043,,,,,,
3.237,,,,,,
4.319,,,,,,
2.709,,,,,,
4.424,,,,,,
2.051,,,,,,
5.88,,,,,,
4.562,,,,,,
3.866,,,,,,
3.798,,,,,,
3.441,,,,,,
3.946,,,,,,
2.207,,,,,,
4.496,,,,,,
2.001,,,,,,
0.799,,,,,,
4.98,,,,,,
2.957,,,,,,
5.633,,,,,,
0.54,,,,,,
2.67,,,,,,
2.235,,,,,,
2.366,,,,,,
2.088,,,,,,
2.625,,,,,,
6.898,,,,,,
2.48,,,,,,
2.028,,,,,,
6.861,,,,,,
4.498,,,,,,
3.39,,,,,,
2.728,,,,,,
1.325,,,,,,
2.214,,,,,,
0.412,,,,,,
2.004,,,,,,
0.072,,,,,,
2.286,,,,,,
4.395,,,,,,
3.762,,,,,,
4.376,,,,,,
3.574,,,,,,
6.886,,,,,,
2.563,,,,,,
4.151,,,,,,
3.859,,,,,,
4.761,,,,,,
2.145,,,,,,
2.712,,,,,,
2.571,,,,,,
4.249,,,,,,
4.341,,,,,,
5.961,,,,,,
4.405,,,,,,
5.807,,,,,,
7.861,,,,,,
3.588,,,,,,
2.814,,,,,,
6.678,,,,,,
4.305,,,,,,
3.782,,,,,,
2.092,,,,,,
4.567,,,,,,
4.755,,,,,,
5.706,,,,,,
2.449,,,,,,
1.223,,,,,,
2.261,,,,,,
5.175,,,,,,
0.973,,,,,,
4.478,,,,,,
4.661,,,,,,
4.617,,,,,,
2.102,,,,,,
2.856,,,,,,
4.7,,,,,,
3.135,,,,,,
2.786,,,,,,
4.201,,,,,,
0.233,,,,,,
2.034,,,,,,
2.668,,,,,,
5.5,,,,,,
3.729,,,,,,
2.972,,,,,,
4.327,,,,,,
5.609,,,,,,
0.649,,,,,,
2.465,,,,,,
4.959,,,,,,
5.49,,,,,,
5.797,,,,,,
1.259,,,,,,
0.551,,,,,,
2.138,,,,,,
3.052,,,,,,
4.405,,,,,,
3.725,,,,,,
1.996,,,,,,
6.039,,,,,,
4.683,,,,,,
4.655,,,,,,
5.183,,,,,,
3.026,,,,,,
2.235,,,,,,
3.85,,,,,,
5.077,,,,,,
8.204,,,,,,
1.832,,,,,,
2.218,,,,,,
4.371,,,,,,
1.522,,,,,,
2.786,,,,,,
3.479,,,,,,
2.129,,,,,,
2.55,,,,,,
1.996,,,,,,
1.756,,,,,,
3.256,,,,,,
3.207,,,,,,
2.787,,,,,,
2.942,,,,,,
2.119,,,,,,
3.44,,,,,,
4.243,,,,,,
3.995,,,,,,
3.097,,,,,,
2.89,,,,,,
4.568,,,,,,
2.251,,,,,,
3.542,,,,,,
2.75,,,,,,
0.897,,,,,,
5.268,,,,,,
0.726,,,,,,
2.283,,,,,,
5.163,,,,,,
4.055,,,,,,
2.323,,,,,,
3.197,,,,,,
6.1,,,,,,
4.755,,,,,,
4.407,,,,,,
2.721,,,,,,
2.019,,,,,,
2.541,,,,,,
2.119,,,,,,
2.276,,,,,,
4.704,,,,,,
2.456,,,,,,
2.302,,,,,,
1.144,,,,,,
2.123,,,,,,
3.068,,,,,,
4.678,,,,,,
0.743,,,,,,
3.026,,,,,,
2.741,,,,,,
5.471,,,,,,
3.406,,,,,,
2.823,,,,,,
2.445,,,,,,
2.082,,,,,,
2.153,,,,,,
2.658,,,,,,
3.359,,,,,,
3.07,,,,,,
4.107,,,,,,
2.1,,,,,,
2.93,,,,,,
2.088,,,,,,
2.458,,,,,,
4.319,,,,,,
2.241,,,,,,
1.15,,,,,,
2.526,,,,,,
3.001,,,,,,
2.491,,,,,,
4.061,,,,,,
3.462,,,,,,
5.973,,,,,,
6.28,,,,,,
5.011,,,,,,
2.641,,,,,,
4.546,,,,,,
3.948,,,,,,
2.932,,,,,,
2.384,,,,,,
0.48,,,,,,
2.582,,,,,,
2.202,,,,,,
2.25,,,,,,
4.808,,,,,,
2.354,,,,,,
5.353,,,,,,
1.991,,,,,,
2.31,,,,,,
2.25,,,,,,
4.408,,,,,,
4.071,,,,,,
2.342,,,,,,
4.632,,,,,,
4.495,,,,,,
2.111,,,,,,
2.216,,,,,,
0.082,,,,,,
3.683,,,,,,
4.55,,,,,,
4.513,,,,,,
3.016,,,,,,
4.491,,,,,,
5.98,,,,,,
6.537,,,,,,
2.242,,,,,,
2.976,,,,,,
2.532,,,,,,
4.259,,,,,,
6.359,,,,,,
3.871,,,,,,
2.036,,,,,,
2.22,,,,,,
4.628,,,,,,
2.201,,,,,,
6.357,,,,,,
4.626,,,,,,
0.366,,,,,,
3.321,,,,,,
5.732,,,,,,
2.662,,,,,,
1.122,,,,,,
2.231,,,,,,
0.171,,,,,,
4.729,,,,,,
1.766,,,,,,
0.635,,,,,,
4.153,,,,,,
2.35,,,,,,
3.364,,,,,,
5.925,,,,,,
2.25,,,,,,
2.03,,,,,,
2.613,,,,,,
2.604,,,,,,
2.461,,,,,,
4.573,,,,,,
2.971,,,,,,
1.75,,,,,,
4.997,,,,,,
5.749,,,,,,
0.408,,,,,,
3.533,,,,,,
4.216,,,,,,
0.465,,,,,,
0.095,,,,,,
2.073,,,,,,
4.279,,,,,,
2.825,,,,,,
2.206,,,,,,
2.035,,,,,,
4.78,,,,,,
2.112,,,,,,
2.018,,,,,,
2.736,,,,,,
0.237,,,,,,
2.22,,,,,,
3.57,,,,,,
5.39,,,,,,
4.331,,,,,,
2.067,,,,,,
3.178,,,,,,
5.814,,,,,,
3.42,,,,,,
3.043,,,,,,
3.261,,,,,,
2.75,,,,,,
0.713,,,,,,
2.445,,,,,,
2.317,,,,,,
2.168,,,,,,
2.259,,,,,,
2.535,,,,,,
5.643,,,,,,
2.06,,,,,,
2.307,,,,,,
7.345,,,,,,
6.367,,,,,,
4.642,,,,,,
2.965,,,,,,
2.16,,,,,,
2.898,,,,,,
4.242,,,,,,
2.934,,,,,,
5.048,,,,,,
6.012,,,,,,
2.499,,,,,,
2.267,,,,,,
2.094,,,,,,
0.356,,,,,,
5.601,,,,,,
6.34,,,,,,
1.756,,,,,,
4.404,,,,,,
2.3,,,,,,
