current_activity_type_intensity
102
38
104
38
200
160
70
104
104
70
168
38
128
38
136
160
38
38
192
160
128
136
8
38
136
8
104
38
136
192
104
192
8
70
104
8
136
38
104
8
70
70
104
38
8
40
102
8
40
102
8
40
8
102
136
136
8
136
40
70
8
128
102
6
128
104
168
70
102
136
104
38
40
70
8
40
136
104
8
8
136
8
38
72
8
136
8
104
8
104
70
8
40
8
38
72
8
104
8
168
160
70
134
136
6
8
72
38
38
8
104
160
8
72
70
128
160
70
136
38
136
168
192
136
38
72
8
104
70
136
192
168
70
104
104
70
136
192
136
8
70
72
8
136
70
168
160
168
104
160
8
70
104
70
6
136
8
104
128
70
8
72
8
72
104
8
40
8
40
102
8
70
102
104
8
104
38
70
104
128
8
136
8
128
134
136
70
38
102
104
38
6
70
104
64
38
70
104
8
96
104
8
128
160
160
136
8
72
8
72
8
38
136
102
192
72
8
40
72
72
102
70
104
8
38
40
8
72
8
104
8
104
136
136
8
104
8
102
136
8
136
8
136
128
70
168
102
168
136
134
136
160
136
70
168
8
70
166
192
102
136
8
104
8
38
72
8
104
38
8
102
102
104
8
72
8
104
160
168
70
136
8
70
70
38
224
70
70
136
160
70
70
128
102
136
8
192
104
102
8
70
160
168
38
70
160
70
38
38
136
128
8
160
168
70
70
38
8
104
128
8
104
70
8
72
38
8
6
72
70
8
72
102
8
192
40
8
104
8
38
104
8
70
104
160
8
136
6
6
192
8
136
102
8
70
70
136
8
72
70
8
70
40
8
136
8
102
136
8
70
104
192
8
72
38
8
104
160
6
128
8
104
8
40
70
8
136
70
8
72
8
70
38
8
72
8
136
8
72
8
72
70
38
8
72
8
104
8
104
8
104
70
70
38
8
104
8
136
70
70
8
72
8
104
8
72
134
8
104
8
72
70
8
72
192
70
134
38
8
104
8
104
8
72
102
6
102
8
72
8
72
8
72
102
8
72
70
160
8
72
134
192
8
104
70
38
128
8
38
96
104
8
40
8
104
8
104
8
72
70
8
72
8
70
70
192
136
70
8
70
136
8
72
38
8
104
8
192
104
8
72
6
8
168
8
104
8
192
70
70
160
160
102
70
70
8
104
8
168
8
136
8
104
38
102
38
38
8
70
136
8
64
70
136
8
104
8
72
8
168
192
168
6
134
192
70
8
40
8
72
8
72
70
160
8
136
8
72
8
40
70
8
102
136
102
8
104
8
40
8
104
8
104
70
8
104
8
38
168
160
8
104
8
40
102
8
160
168
8
200
8
136
6
168
70
104
8
104
8
70
104
136
8
192
104
8
136
8
6
104
8
104
8
192
72
8
104
102
8
104
8
72
102
72
104
128
8
72
8
104
8
104
8
38
72
8
70
70
136
8
104
70
136
136
160
200
70
70
38
136
70
192
136
102
192
70
136
6
104
104
8
160
136
102
8
168
128
104
8
192
104
134
38
168
104
6
136
70
104
8
136
168
136
70
134
168
136
8
104
136
6
8
104
160
136
38
168
70
168
38
136
8
72
8
104
70
8
72
160
8
104
8
38
40
8
104
8
136
8
72
8
136
8
134
136
168
104
8
40
8
104
8
72
8
72
8
8
136
8
104
8
104
8
72
8
104
8
38
8
72
8
72
128
8
6
136
8
104
70
8
104
8
38
8
40
1
8
104
8
38
136
8
104
8
104
8
72
70
8
40
8
40
128
8
40
8
38
72
8
136
70
72
8
160
102
104
8
72
192
8
136
8
72
8
104
8
40
8
168
8
104
8
104
8
72
8
128
136
168
200
70
70
8
72
8
38
168
200
192
200
136
102
72
160
8
72
104
70
96
104
8
38
104
102
8
70
104
38
8
128
136
160
8
192
136
128
168
168
168
38
70
200
160
70
168
168
96
168
168
136
168
168
70
38
8
104
8
168
136
104
168
104
168
134
38
136
168
38
38
136
8
136
70
136
32
38
102
70
38
136
200
38
168
38
70
70
136
136
136
70
168
70
168
70
200
70
200
0
38
168
168
6
70
168
38
168
160
168
192
160
70
136
168
6
134
168
168
200
200
6
70
136
38
104
200
70
70
136
168
136
168
168
134
136
70
70
136
128
104
104
70
192
38
160
6
104
6
168
168
38
136
6
70
168
168
160
192
136
38
136
8
160
104
192
8
160
72
8
128
72
8
104
8
104
160
8
104
8
104
38
8
104
8
104
102
8
104
70
8
104
38
8
102
104
8
104
102
8
70
70
104
8
104
8
160
72
8
136
8
70
104
8
72
128
8
136
134
8
136
8
136
136
6
38
70
136
136
168
64
104
8
38
136
136
200
136
168
70
96
70
8
104
8
38
136
0
32
134
200
0
70
0
129
104
8
104
70
8
104
8
104
8
70
104
8
104
8
104
8
104
192
8
40
8
104
6
192
8
72
38
70
38
8
136
8
104
8
104
192
8
134
72
70
8
104
8
160
72
8
72
8
96
8
72
0
8
70
104
8
104
8
72
8
136
8
128
6
38
72
8
40
134
8
136
136
38
136
104
70
8
72
8
104
8
38
70
104
8
70
136
192
8
136
8
8
104
8
72
8
8
72
38
8
72
8
72
8
104
8
136
6
134
134
70
102
8
104
70
8
72
8
38
104
160
38
8
72
8
38
40
8
136
8
6
40
8
104
8
104
8
104
38
8
136
8
136
8
40
70
70
8
72
8
72
8
104
200
102
8
38
104
8
104
8
72
8
104
8
72
8
8
104
8
72
8
102
72
168
8
8
40
8
72
38
38
8
104
8
72
8
40
8
40
8
72
8
104
8
104
8
136
8
72
8
104
8
104
8
72
200
168
104
8
136
136
232
104
168
6
104
168
104
38
72
8
168
70
192
6
136
102
104
70
168
102
168
136
70
136
192
102
136
136
6
70
136
38
38
166
136
168
70
168
102
70
160
134
102
168
136
102
192
104
8
104
192
70
38
192
136
8
102
104
134
70
104
70
136
70
102
38
70
70
160
104
72
70
96
8
104
70
8
160
104
8
104
8
72
102
70
70
8
104
32
8
0
8
104
38
192
70
192
8
38
104
104
192
70
38
96
70
104
38
70
38
104
160
6
136
96
136
192
38
104
70
136
8
96
136
104
104
38
70
38
136
70
136
40
38
168
136
136
136
134
134
136
8
70
136
8
6
160
102
102
104
160
136
8
192
104
8
104
8
136
136
8
128
6
160
6
0
128
70
96
38
104
136
168
136
168
104
70
104
8
128
104
8
104
8
104
8
104
70
8
104
8
72
38
8
104
70
38
8
104
8
136
38
8
70
104
8
72
8
72
8
72
8
72
8
102
8
104
8
168
8
136
136
8
40
8
72
8
104
8
72
8
136
8
72
8
104
102
8
104
38
8
128
38
96
38
128
8
72
38
160
8
104
8
168
70
8
72
8
168
38
70
72
8
40
8
160
72
102
104
8
104
8
136
38
38
8
72
8
104
70
8
72
8
104
8
72
8
104
8
136
8
104
8
40
8
104
8
38
72
8
104
8
72
8
72
38
72
8
104
134
8
168
70
38
8
72
128
104
8
72
8
72
70
8
72
70
104
102
8
104
8
40
8
104
8
104
8
104
8
104
8
104
8
136
70
8
104
70
192
8
104
70
136
128
8
104
8
72
8
136
8
104
8
136
8
104
8
104
8
136
8
72
8
72
8
104
70
8
104
8
8
136
168
8
168
70
168
168
72
168
104
136
168
8
168
8
104
8
72
8
72
8
72
8
102
70
72
8
72
70
102
104
8
104
8
136
136
8
128
136
200
136
168
96
38
104
104
8
136
136
168
102
72
8
136
6
200
70
136
70
104
8
104
8
104
8
102
104
136
136
70
104
104
8
104
8
