steps
17411
5988
11740
1687
11806
17505
17532
11890
1722
17705
11971
17803
11988
17891
782
17913
17927
939
18152
5394
18279
1743
12071
18355
1762
5642
5642
18373
18384
5642
5642
5642
5642
5642
18428
18461
18492
17331
5662
5672
129
2030
2115
2399
215
5678
240
395
572
2774
3124
5845
5937
3233
5957
6013
3875
622
6183
4266
6208
4292
758
6223
4741
4771
6290
6347
2421
6354
6566
7853
7853
6526
814
3356
6541
6553
954
965
1042
3666
1070
4801
1160
4815
7308
4829
1341
7351
5041
597
1389
5050
1446
5169
1508
1517
1531
3918
1569
5232
1586
5260
5528
6577
1699
11177
1787
1794
5676
1822
1869
1932
1961
5732
5750
4802
2157
5783
5001
5820
2222
2254
2273
6927
5943
8826
5970
7853
5066
6188
7964
2223
6438
6447
6460
6477
6524
7360
6561
6598
7371
6645
8418
6715
6814
6834
5409
6952
6985
5464
7259
5642
2288
7668
2354
8763
2624
8379
1297
8460
2792
2920
8790
7725
2935
8728
3281
3374
8811
3422
3480
3548
32
3559
3609
7971
3622
3644
3657
3679
3685
8345
3822
8480
8507
8713
8726
246
3872
8736
297
3883
487
3924
3955
3967
7837
41
3976
4040
4108
4423
11
4618
17
4773
8770
5027
2156
172
325
5152
5344
15
8330
970
5394
1158
1171
8826
1956
27
137
946
946
242
305
3582
318
2130
339
385
510
953
961
2156
1023
1152
8630
1190
4591
1217
4635
1229
1396
4654
1930
4675
1962
5734
6454
6147
6200
6248
6571
6433
6518
6560
1983
7020
4416
7260
2052
7293
7392
6996
7584
7271
7777
7314
7333
7373
7005
7887
7538
7640
7680
8181
7739
8218
2146
8234
7754
7796
7807
7816
7833
335
7943
8071
8097
8127
8404
8154
29
969
8457
8561
8578
8297
8346
1115
8358
9334
1517
1604
1622
13
1693
8369
1754
1816
1883
2020
2066
2114
2185
8784
8507
8550
8793
8859
2220
8613
8650
8987
11
8688
8724
4263
4423
24
17
386
812
830
852
887
900
946
8737
341
358
8811
8843
387
423
476
8877
8900
542
565
9023
626
671
115
876
1028
6458
2057
1124
2143
1207
12441
6578
1335
2560
9032
196
2593
1503
12441
12441
9297
1534
1573
6748
9334
4021
1657
7399
4292
4326
1713
4412
7597
5588
5648
7676
6485
6590
6600
1982
9523
6617
2038
2194
2205
10351
7576
7585
3128
12441
4036
4169
4190
4207
268
17131
8376
328
8406
8547
8579
8848
9294
9505
9538
9566
9581
9
13815
98
13952
14259
180
10256
14862
10554
15634
10569
11684
16174
16196
12207
134
62
12596
12604
16579
100
13796
13806
143
16590
16613
16645
13847
13862
13890
13903
181
14062
14548
210
251
210
257
16007
304
16033
17131
645
16231
283
310
678
16258
16330
16374
16405
16556
13195
789
814
822
195
832
267
525
1520
1563
576
1585
593
2965
1931
2686
1972
2134
2237
2476
2504
652
2515
2523
2700
2585
2783
2885
2653
16634
2927
1365
16973
16994
2939
1391
2679
2254
1901
2724
2856
709
2576
1400
1423
2900
486
2965
17003
17013
890
17026
917
996
1236
1253
1505
1264
1314
1327
21
5629
5673
5748
1354
5874
30
6531
6901
7025
6945
7074
6969
41
7010
67
7268
1382
7356
7580
10802
10802
7948
7974
7294
9435
8091
9475
8169
784
7431
9550
8239
829
9606
8378
7731
81
8457
8492
1461
8507
8516
8527
9137
9256
9417
9462
13246
143
9511
16018
9563
9570
1491
9747
9891
1127
9905
9921
10054
1421
10073
10098
10905
11027
10118
3638
10129
10294
10305
10340
11759
174
10377
4136
197
213
242
283
300
10601
313
10694
371
10755
5492
422
433
444
12013
496
532
10802
715
524
524
762
10854
10865
811
524
736
13024
13040
577
10974
615
709
777
11243
816
11256
11296
838
456
11394
1043
10568
10586
1263
1290
11414
1299
10725
1400
11618
2165
11699
11740
1587
1621
1091
1754
2029
11941
838
11956
2081
2090
2144
2201
3232
1868
12046
3778
870
12128
902
12135
917
12177
3923
12196
4015
12219
1045
4833
4278
12318
1054
12418
4310
4341
1081
12797
12828
12884
6153
1135
4354
1186
6989
1401
7075
4362
12950
1597
1628
7114
13013
1747
1773
1794
1866
2026
8552
4388
4396
2691
2911
4423
3436
13246
401
508
419
3815
449
3830
3887
11790
5736
4268
18175
5842
12090
4777
12664
6935
4937
5548
7099
13540
7558
7579
8076
8538
9265
9618
